DLC,category,name,endTimeMs,bundledItems,sellingPrice,price,imageUrl,localImage,metadataList
11,"ITEMS
道具","Silver Pinap Berries
银色凰梨果",,"[{'itemId': 'Silver Pinap Berry\n银色凰梨果', 'rawId': 'item_golden_pinap_berry', 'quantity': 10}]",9.99 CNY 人民币,"[{'priceE6': 10000000000, 'currency': 'IDR', 'type': 2, 'priceMetaData': {'originalPriceE6': 10000000000, 'discountPercentage': 0}}]",https://storage.googleapis.com/platform-webstore-rel-assets/pgo/sku_assets/item_golden_pinap_berry.png,images/main_web-10-silver-pinap.png,"[{'key': 'FRONTEND_MEDIA_BACKGROUND_COLOR', 'value': '{""backgroundColor"": ""#DAEBE9""}'}, {'key': 'FRONTEND_BG_TAG_COLOR', 'value': '#608183'}]"
12,"ITEMS
道具","Max Particle Pack + Remote Raid Pass
极巨粒子组合 + 远距团体战入场券",,"[{'itemId': 'Max Particle Pack\n极巨粒子组合', 'rawId': 'item_mp_replenish', 'quantity': 1}, {'itemId': 'Remote Raid Pass\n远距团体战入场券', 'rawId': 'item_remote_raid_ticket', 'quantity': 1}]",12.99 CNY 人民币,"[{'priceE6': 15000000000, 'currency': 'IDR', 'type': 2, 'priceMetaData': {'originalPriceE6': 15000000000, 'discountPercentage': 0}}]",https://storage.googleapis.com/platform-webstore-rel-assets/pgo/sku_assets/1_mp_rrp.png,images/main_web-1mp-1rrp-bundle.png,"[{'key': 'FRONTEND_MEDIA_BACKGROUND_COLOR', 'value': '{""backgroundColor"": ""#DAEBE9""}'}, {'key': 'FRONTEND_BG_TAG_COLOR', 'value': '#608183'}]"
13,"ITEMS
道具","3 Max Particle Pack + 3 Remote Raid Pass
3 极巨粒子组合 + 3 远距团体战入场券",,"[{'itemId': 'Max Particle Pack\n极巨粒子组合', 'rawId': 'item_mp_replenish', 'quantity': 3}, {'itemId': 'Remote Raid Pass\n远距团体战入场券', 'rawId': 'item_remote_raid_ticket', 'quantity': 3}]",29.99 CNY 人民币,"[{'priceE6': 41000000000, 'currency': 'IDR', 'type': 2, 'priceMetaData': {'originalPriceE6': 41000000000, 'discountPercentage': 0}}]",https://storage.googleapis.com/platform-webstore-rel-assets/pgo/sku_assets/3_mp_rrp.png,images/main_web-3mp-3rrp-bundle.png,"[{'key': 'FRONTEND_MEDIA_BACKGROUND_COLOR', 'value': '{""backgroundColor"": ""#DAEBE9""}'}, {'key': 'FRONTEND_BG_TAG_COLOR', 'value': '#608183'}]"
14,"ITEMS
道具","Max Mushroom
极巨菇菇",,"[{'itemId': 'Max Mushroom\n极巨菇菇', 'rawId': 'item_max_boost', 'quantity': 3}]",33.33 CNY 人民币,"[{'priceE6': 50000000000, 'currency': 'IDR', 'type': 2, 'priceMetaData': {'originalPriceE6': 50000000000, 'discountPercentage': 0}}]",https://storage.googleapis.com/platform-webstore-rel-assets/pgo/sku_assets/item_max_boost.png,images/main_web-max-mushroom-3.png,"[{'key': 'FRONTEND_MEDIA_BACKGROUND_COLOR', 'value': '{""backgroundColor"": ""#DAEBE9""}'}, {'key': 'FRONTEND_BG_TAG_COLOR', 'value': '#608183'}]"
15,"ITEMS
道具","Max Particle Pack
极巨粒子组合",,"[{'itemId': 'Max Particle Pack\n极巨粒子组合', 'rawId': 'item_mp_replenish', 'quantity': 6}]",29.99 CNY 人民币,"[{'priceE6': 41000000000, 'currency': 'IDR', 'type': 2, 'priceMetaData': {'originalPriceE6': 41000000000, 'discountPercentage': 0}}]",https://storage.googleapis.com/platform-webstore-rel-assets/pgo/sku_assets/item_mp_replenish.png,images/main_web-mp-pack.png,"[{'key': 'FRONTEND_MEDIA_BACKGROUND_COLOR', 'value': '{""backgroundColor"": ""#DAEBE9""}'}, {'key': 'FRONTEND_BG_TAG_COLOR', 'value': '#608183'}]"
16,"ITEMS
道具","Premium Battle Pass
特级对战入场券",,"[{'itemId': 'Premium Battle Pass\n特级对战入场券', 'rawId': 'item_paid_raid_ticket', 'quantity': 3}]",12.99 CNY 人民币,"[{'priceE6': 15000000000, 'currency': 'IDR', 'type': 2, 'priceMetaData': {'originalPriceE6': 15000000000, 'discountPercentage': 0}}]",https://storage.googleapis.com/platform-webstore-rel-assets/pgo/sku_assets/item_paid_raid_ticket.png,images/main_web-premium-battle-pass-3.png,"[{'key': 'FRONTEND_MEDIA_BACKGROUND_COLOR', 'value': '{""backgroundColor"": ""#DAEBE9""}'}, {'key': 'FRONTEND_BG_TAG_COLOR', 'value': '#608183'}]"
17,"ITEMS
道具","Golden Razz Berries
金色蔓莓果",,"[{'itemId': 'Golden Razz Berry\n金色蔓莓果', 'rawId': 'item_golden_razz_berry', 'quantity': 15}]",9.99 CNY 人民币,"[{'priceE6': 10000000000, 'currency': 'IDR', 'type': 2, 'priceMetaData': {'originalPriceE6': 10000000000, 'discountPercentage': 0}}]",https://storage.googleapis.com/platform-webstore-rel-assets/pgo/sku_assets/item_golden_razz_berry.png,images/main_web-15-gold-razz.png,"[{'key': 'FRONTEND_MEDIA_BACKGROUND_COLOR', 'value': '{""backgroundColor"": ""#DAEBE9""}'}, {'key': 'FRONTEND_BG_TAG_COLOR', 'value': '#608183'}]"
18,"ITEMS
道具","Max Potions
全满药",,"[{'itemId': 'Max Potion\n全满药', 'rawId': 'item_max_potion', 'quantity': 10}]",9.99 CNY 人民币,"[{'priceE6': 10000000000, 'currency': 'IDR', 'type': 2, 'priceMetaData': {'originalPriceE6': 10000000000, 'discountPercentage': 0}}]",https://storage.googleapis.com/platform-webstore-rel-assets/pgo/sku_assets/ITEM_MAX_POTION.png,images/main_web-10-max-potions.png,"[{'key': 'FRONTEND_MEDIA_BACKGROUND_COLOR', 'value': '{""backgroundColor"": ""#DAEBE9""}'}, {'key': 'FRONTEND_BG_TAG_COLOR', 'value': '#608183'}]"
1,"LIMITED_TIME
限时礼盒","GO Pass Deluxe: Pokémon 30th Anniversary
GO入场券豪华版：宝可梦30周年纪念",2026-03-10 11:00:00,"[{'itemId': 'GO Pass Deluxe: Pokémon 30th Anniversary\nGO入场券豪华版：宝可梦30周年纪念', 'rawId': 'badge_event_0186', 'quantity': 1}, {'itemId': 'Ultra Ball\n高级球', 'rawId': 'item_ultra_ball', 'quantity': 10}, {'itemId': 'Max Revive\n活力块', 'rawId': 'item_max_revive', 'quantity': 5}, {'itemId': 'Premium Battle Pass\n特级对战入场券', 'rawId': 'item_paid_raid_ticket', 'quantity': 1}, {'itemId': 'Max Potion\n全满药', 'rawId': 'item_max_potion', 'quantity': 5}]",29.99 CNY 人民币,"[{'priceE6': 41000000000, 'currency': 'IDR', 'type': 2, 'priceMetaData': {'originalPriceE6': 41000000000, 'discountPercentage': 0}}]",https://storage.googleapis.com/platform-webstore-rel-assets/pgo/sku_assets/bundle.general1.small.2(1).png,images/main_web-anni-pass-deluxe.png,"[{'key': 'FRONTEND_PRIMARY_TAG', 'value': '{""locKey"":""sku.tag.limited_time_only"",""values"":{}}'}, {'key': 'FRONTEND_ENABLE_TIMER', 'value': 'true'}, {'key': 'FRONTEND_DISPLAY_END_DATE', 'value': 'false'}, {'key': 'FRONTEND_AUTO_APPLY_NEW_TAG', 'value': 'false'}, {'key': 'FRONTEND_PURCHASE_LIMIT', 'value': '1'}, {'key': 'FRONTEND_BADGE', 'value': '{""type"":""WEB_ONLY"",""filename"":""badge__web_only.png""}'}, {'key': 'FRONTEND_MEDIA_BACKGROUND_COLOR', 'value': '{""backgroundColor"": ""#DAEBE9""}'}, {'key': 'FRONTEND_BG_TAG_COLOR', 'value': '#608183'}, {'key': 'FRONTEND_EVENT_LINK', 'value': '{""eventLink"":""https://pokemongo.com/news/pokemon-30th-anniversary"",""associatedItemId"":""BADGE_EVENT_0186""}'}]"
2,"LIMITED_TIME
限时礼盒","GO Pass Deluxe: March
GO入场券豪华版：3月",2026-04-01 11:00:00,"[{'itemId': 'GO Pass Deluxe: March\nGO入场券豪华版：3月', 'rawId': 'badge_event_0174', 'quantity': 1}, {'itemId': 'Ultra Ball\n高级球', 'rawId': 'item_ultra_ball', 'quantity': 10}, {'itemId': 'Max Revive\n活力块', 'rawId': 'item_max_revive', 'quantity': 5}, {'itemId': 'Premium Battle Pass\n特级对战入场券', 'rawId': 'item_paid_raid_ticket', 'quantity': 1}, {'itemId': 'Max Potion\n全满药', 'rawId': 'item_max_potion', 'quantity': 5}]",29.99 CNY 人民币,"[{'priceE6': 41000000000, 'currency': 'IDR', 'type': 2, 'priceMetaData': {'originalPriceE6': 41000000000, 'discountPercentage': 0}}]",https://storage.googleapis.com/platform-webstore-rel-assets/pgo/sku_assets/bundle1.sprite.a.png,images/main_web-event-pass-base-march-26.png,"[{'key': 'FRONTEND_PRIMARY_TAG', 'value': '{""locKey"":""sku.tag.limited_time_only"",""values"":{}}'}, {'key': 'FRONTEND_ENABLE_TIMER', 'value': 'true'}, {'key': 'FRONTEND_PURCHASE_LIMIT', 'value': '1'}, {'key': 'FRONTEND_BADGE', 'value': '{""type"":""WEB_ONLY"",""filename"":""badge__web_only.png""}'}, {'key': 'FRONTEND_MEDIA_BACKGROUND_COLOR', 'value': '{""backgroundColor"": ""#DAEBE9""}'}, {'key': 'FRONTEND_BG_TAG_COLOR', 'value': '#608183'}]"
3,"LIMITED_TIME
限时礼盒","GO Pass Deluxe: Pokémon 30th Anniversary Ultra Box
GO入场券豪华版：宝可梦30周年纪念高级礼盒",2026-03-10 11:00:00,"[{'itemId': 'GO Pass Deluxe: Pokémon 30th Anniversary\nGO入场券豪华版：宝可梦30周年纪念', 'rawId': 'badge_event_0186', 'quantity': 1}, {'itemId': ' + 10 Ranks\n +10 级', 'rawId': 'item_event_pass_point_live_ops_04', 'quantity': 1000}, {'itemId': 'Ultra Ball\n高级球', 'rawId': 'item_ultra_ball', 'quantity': 20}, {'itemId': 'Max Revive\n活力块', 'rawId': 'item_max_revive', 'quantity': 10}, {'itemId': 'Premium Battle Pass\n特级对战入场券', 'rawId': 'item_paid_raid_ticket', 'quantity': 2}, {'itemId': 'Egg Incubator\n孵化器', 'rawId': 'item_incubator_basic', 'quantity': 1}, {'itemId': 'Super Incubator\n超级孵化器', 'rawId': 'item_incubator_super', 'quantity': 1}, {'itemId': 'Max Potion\n全满药', 'rawId': 'item_max_potion', 'quantity': 10}]",55.55 CNY 人民币,"[{'priceE6': 76000000000, 'currency': 'IDR', 'type': 2, 'priceMetaData': {'originalPriceE6': 76000000000, 'discountPercentage': 0}}]",https://storage.googleapis.com/platform-webstore-rel-assets/pgo/sku_assets/bundle.general1.large.2.png,images/main_web-anni-pass-deluxe-ultra.png,"[{'key': 'FRONTEND_PRIMARY_TAG', 'value': '{""locKey"":""sku.tag.limited_time_only"",""values"":{}}'}, {'key': 'FRONTEND_ENABLE_TIMER', 'value': 'true'}, {'key': 'FRONTEND_PURCHASE_LIMIT', 'value': '1'}, {'key': 'FRONTEND_BADGE', 'value': '{""type"":""WEB_ONLY"",""filename"":""badge__web_only.png""}'}, {'key': 'FRONTEND_MEDIA_BACKGROUND_COLOR', 'value': '{""backgroundColor"": ""#DAEBE9""}'}, {'key': 'FRONTEND_BG_TAG_COLOR', 'value': '#608183'}, {'key': 'FRONTEND_EVENT_LINK', 'value': '{""eventLink"":""https://pokemongo.com/news/pokemon-30th-anniversary"",""associatedItemId"":""BADGE_EVENT_0186""}'}]"
4,"LIMITED_TIME
限时礼盒","GO Pass Deluxe: Pokémon 30th Anniversary + 10 Ranks
GO入场券豪华版：宝可梦30周年纪念＋10级",2026-03-10 11:00:00,"[{'itemId': 'GO Pass Deluxe: Pokémon 30th Anniversary\nGO入场券豪华版：宝可梦30周年纪念', 'rawId': 'badge_event_0186', 'quantity': 1}, {'itemId': ' + 10 Ranks\n +10 级', 'rawId': 'item_event_pass_point_live_ops_04', 'quantity': 1000}, {'itemId': 'Ultra Ball\n高级球', 'rawId': 'item_ultra_ball', 'quantity': 10}, {'itemId': 'Max Revive\n活力块', 'rawId': 'item_max_revive', 'quantity': 5}, {'itemId': 'Premium Battle Pass\n特级对战入场券', 'rawId': 'item_paid_raid_ticket', 'quantity': 1}, {'itemId': 'Max Potion\n全满药', 'rawId': 'item_max_potion', 'quantity': 5}]",33.33 CNY 人民币,"[{'priceE6': 50000000000, 'currency': 'IDR', 'type': 2, 'priceMetaData': {'originalPriceE6': 50000000000, 'discountPercentage': 0}}]",https://storage.googleapis.com/platform-webstore-rel-assets/pgo/sku_assets/bundle.general1.medium.2.png,images/main_web-anni-pass-deluxe-10.png,"[{'key': 'FRONTEND_PRIMARY_TAG', 'value': '{""locKey"":""sku.tag.limited_time_only"",""values"":{}}'}, {'key': 'FRONTEND_ENABLE_TIMER', 'value': 'true'}, {'key': 'FRONTEND_DISPLAY_END_DATE', 'value': 'false'}, {'key': 'FRONTEND_AUTO_APPLY_NEW_TAG', 'value': 'false'}, {'key': 'FRONTEND_PURCHASE_LIMIT', 'value': '1'}, {'key': 'FRONTEND_BADGE', 'value': '{""type"":""WEB_ONLY"",""filename"":""badge__web_only.png""}'}, {'key': 'FRONTEND_MEDIA_BACKGROUND_COLOR', 'value': '{""backgroundColor"": ""#DAEBE9""}'}, {'key': 'FRONTEND_BG_TAG_COLOR', 'value': '#608183'}, {'key': 'FRONTEND_EVENT_LINK', 'value': '{""eventLink"":""https://pokemongo.com/news/pokemon-30th-anniversary"",""associatedItemId"":""BADGE_EVENT_0186""}'}]"
5,"LIMITED_TIME
限时礼盒","GO Pass Deluxe: March + 10 Ranks
GO入场券豪华版：3月＋10级",2026-04-01 11:00:00,"[{'itemId': 'GO Pass Deluxe: March\nGO入场券豪华版：3月', 'rawId': 'badge_event_0174', 'quantity': 1}, {'itemId': ' + 10 Ranks\n +10 级', 'rawId': 'item_event_pass_point_monthly_01', 'quantity': 1000}, {'itemId': 'Ultra Ball\n高级球', 'rawId': 'item_ultra_ball', 'quantity': 10}, {'itemId': 'Max Revive\n活力块', 'rawId': 'item_max_revive', 'quantity': 5}, {'itemId': 'Premium Battle Pass\n特级对战入场券', 'rawId': 'item_paid_raid_ticket', 'quantity': 1}, {'itemId': 'Max Potion\n全满药', 'rawId': 'item_max_potion', 'quantity': 5}]",33.33 CNY 人民币,"[{'priceE6': 50000000000, 'currency': 'IDR', 'type': 2, 'priceMetaData': {'originalPriceE6': 50000000000, 'discountPercentage': 0}}]",https://storage.googleapis.com/platform-webstore-rel-assets/pgo/sku_assets/bundle.xmas.small.1.png,images/main_web-event-pass-plusrank-march-26.png,"[{'key': 'FRONTEND_PRIMARY_TAG', 'value': '{""locKey"":""sku.tag.limited_time_only"",""values"":{}}'}, {'key': 'FRONTEND_ENABLE_TIMER', 'value': 'true'}, {'key': 'FRONTEND_PURCHASE_LIMIT', 'value': '1'}, {'key': 'FRONTEND_BADGE', 'value': '{""type"":""WEB_ONLY"",""filename"":""badge__web_only.png""}'}, {'key': 'FRONTEND_MEDIA_BACKGROUND_COLOR', 'value': '{""backgroundColor"": ""#DAEBE9""}'}, {'key': 'FRONTEND_BG_TAG_COLOR', 'value': '#608183'}]"
6,"LIMITED_TIME
限时礼盒","GO Pass Deluxe: March Ultra Box
GO入场券豪华版：3月高级礼盒",2026-04-01 11:00:00,"[{'itemId': 'GO Pass Deluxe: March\nGO入场券豪华版：3月', 'rawId': 'badge_event_0174', 'quantity': 1}, {'itemId': ' + 10 Ranks\n +10 级', 'rawId': 'item_event_pass_point_monthly_01', 'quantity': 1000}, {'itemId': 'Ultra Ball\n高级球', 'rawId': 'item_ultra_ball', 'quantity': 20}, {'itemId': 'Max Revive\n活力块', 'rawId': 'item_max_revive', 'quantity': 10}, {'itemId': 'Premium Battle Pass\n特级对战入场券', 'rawId': 'item_paid_raid_ticket', 'quantity': 2}, {'itemId': 'Egg Incubator\n孵化器', 'rawId': 'item_incubator_basic', 'quantity': 1}, {'itemId': 'Super Incubator\n超级孵化器', 'rawId': 'item_incubator_super', 'quantity': 1}, {'itemId': 'Max Potion\n全满药', 'rawId': 'item_max_potion', 'quantity': 10}]",55.55 CNY 人民币,"[{'priceE6': 76000000000, 'currency': 'IDR', 'type': 2, 'priceMetaData': {'originalPriceE6': 76000000000, 'discountPercentage': 0}}]",https://storage.googleapis.com/platform-webstore-rel-assets/pgo/sku_assets/bundle.xmas.medium.1.png,images/main_web-event-pass-plusrank-march-26-ultra.png,"[{'key': 'FRONTEND_PRIMARY_TAG', 'value': '{""locKey"":""sku.tag.limited_time_only"",""values"":{}}'}, {'key': 'FRONTEND_ENABLE_TIMER', 'value': 'true'}, {'key': 'FRONTEND_PURCHASE_LIMIT', 'value': '1'}, {'key': 'FRONTEND_BADGE', 'value': '{""type"":""WEB_ONLY"",""filename"":""badge__web_only.png""}'}, {'key': 'FRONTEND_MEDIA_BACKGROUND_COLOR', 'value': '{""backgroundColor"": ""#DAEBE9""}'}, {'key': 'FRONTEND_BG_TAG_COLOR', 'value': '#608183'}]"
,"POKECOINS
宝可币","600 PokéCoins
600宝可币",,"[{'itemId': 'POKECOIN\n宝可币', 'rawId': 'pokecoin', 'quantity': 600}]",18.99 CNY 人民币,"[{'priceE6': 25000000000, 'currency': 'IDR', 'type': 2, 'priceMetaData': {'originalPriceE6': 25000000000, 'discountPercentage': 0}}]",https://storage.googleapis.com/platform-webstore-rel-assets/pgo/sku_assets/coin-bundle-xsmall.png,images/main_coin-bundle-xsmall.png,"[{'key': 'FRONTEND_MEDIA_BACKGROUND_COLOR', 'value': '{""backgroundColor"": ""#DAEBE9""}'}]"
,"POKECOINS
宝可币","1,300 PokéCoins
1,300宝可币",,"[{'itemId': 'POKECOIN\n宝可币', 'rawId': 'pokecoin', 'quantity': 1300}]",29.99 CNY 人民币,"[{'priceE6': 50000000000, 'currency': 'IDR', 'type': 2, 'priceMetaData': {'originalPriceE6': 50000000000, 'discountPercentage': 0}}]",https://storage.googleapis.com/platform-webstore-rel-assets/pgo/sku_assets/coin-bundle-small_v2.png,images/main_coin-bundle-small_v2.png,"[{'key': 'FRONTEND_MEDIA_BACKGROUND_COLOR', 'value': '{""backgroundColor"": ""#DAEBE9""}'}]"
,"POKECOINS
宝可币","2,700 PokéCoins
2,700宝可币",,"[{'itemId': 'POKECOIN\n宝可币', 'rawId': 'pokecoin', 'quantity': 2700}]",54.99 CNY 人民币,"[{'priceE6': 101000000000, 'currency': 'IDR', 'type': 2, 'priceMetaData': {'originalPriceE6': 101000000000, 'discountPercentage': 0}}]",https://storage.googleapis.com/platform-webstore-rel-assets/pgo/sku_assets/coin-bundle-medium_v2.png,images/main_coin-bundle-medium_v2.png,"[{'key': 'FRONTEND_MEDIA_BACKGROUND_COLOR', 'value': '{""backgroundColor"": ""#DAEBE9""}'}]"
,"POKECOINS
宝可币","5,600 PokéCoins
5,600宝可币",,"[{'itemId': 'POKECOIN\n宝可币', 'rawId': 'pokecoin', 'quantity': 5600}]",104.99 CNY 人民币,"[{'priceE6': 200000000000, 'currency': 'IDR', 'type': 2, 'priceMetaData': {'originalPriceE6': 200000000000, 'discountPercentage': 0}}]",https://storage.googleapis.com/platform-webstore-rel-assets/pgo/sku_assets/coin-bundle-large-v2.png,images/main_coin-bundle-large-v2.png,"[{'key': 'FRONTEND_MEDIA_BACKGROUND_COLOR', 'value': '{""backgroundColor"": ""#DAEBE9""}'}]"
,"POKECOINS
宝可币","15,500 PokéCoins
15,500宝可币",,"[{'itemId': 'POKECOIN\n宝可币', 'rawId': 'pokecoin', 'quantity': 15500}]",249.99 CNY 人民币,"[{'priceE6': 505000000000, 'currency': 'IDR', 'type': 2, 'priceMetaData': {'originalPriceE6': 505000000000, 'discountPercentage': 0}}]",https://storage.googleapis.com/platform-webstore-rel-assets/pgo/sku_assets/coin-bundle-xlarge.png,images/main_coin-bundle-xlarge.png,"[{'key': 'FRONTEND_MEDIA_BACKGROUND_COLOR', 'value': '{""backgroundColor"": ""#DAEBE9""}'}]"
